eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
108.83,2.19,2950,0.009338607,0.13035075,2.260328,-0.013759252,0.1752429,0.5197166204452515,65,16640,364.54369139205664,1064960
91.93,1.66,2978,0.009405439,0.13169353,2.2552497,-0.014157084,0.16548218,0.4403613805770874,66,16896,370.0452273963019,1081344
97.44,1.87,2976,0.009047924,0.12194824,2.2630694,-0.017366165,0.16341151,0.47616660594940186,67,17152,375.58889746759087,1097728
99.66,2.0,2957,0.010176697,0.14249675,2.2461329,-0.016504074,0.17126584,0.480402410030365,68,17408,381.13006307091564,1114112
91.48,1.7,2961,0.009236305,0.12992351,2.241229,-0.017887376,0.15621255,0.44779378175735474,69,17664,386.70157347619534,1130496
102.41,2.36,2896,0.008842132,0.11973063,2.2598965,-0.016406324,0.18533085,0.4651396870613098,70,17920,392.3592374874279,1146880
114.5,2.34,2995,0.0095683765,0.13498943,2.2634485,-0.01610437,0.14815658,0.47482091188430786,71,18176,397.87460573390126,1163264
100.75,2.16,2914,0.009083531,0.1260783,2.235046,-0.014005744,0.17287262,0.5428546071052551,72,18432,403.498358883895,1179648
97.94,2.23,2898,0.0090452675,0.12648518,2.245335,-0.016856903,0.16427223,0.47480905055999756,73,18688,409.19131651800126,1196032
95.29,2.11,2925,0.009877994,0.13893636,2.2440164,-0.017737115,0.16527708,0.5247526168823242,74,18944,414.7937051150948,1212416
111.4,2.27,2965,0.009709186,0.13899739,2.2541993,-0.018972233,0.14924149,0.5765554308891296,75,19200,420.3618578510359,1228800
104.7,2.14,2873,0.009833035,0.13328044,2.2503505,-0.01649138,0.17750911,0.5437760949134827,76,19456,426.06399034149945,1245184
95.83,2.01,2926,0.009291825,0.12738037,2.2594137,-0.017875781,0.14271067,0.5555384755134583,77,19712,431.70500173419714,1261568
101.93,2.26,2913,0.009567193,0.13700359,2.2729447,-0.017388627,0.16942705,0.5220123827457428,78,19968,437.3298379816115,1277952
106.34,2.22,2886,0.009776705,0.13899739,2.2694476,-0.016485551,0.15635966,0.5537401139736176,79,20224,443.0477674882859,1294336
103.85,2.16,3028,0.009712123,0.13586426,2.286198,-0.019594276,0.17554772,0.4790987968444824,80,20480,448.4592336434871,1310720
94.69,1.86,3002,0.009932592,0.14074707,2.2609208,-0.018909538,0.13897084,0.5333778858184814,81,20736,453.9572334969416,1327104
101.7,1.8,3024,0.010109826,0.14064534,2.2913086,-0.017355232,0.14280368,0.4854198694229126,82,20992,459.376735127531,1343488
107.36,2.08,3069,0.010085606,0.13726807,2.257584,-0.018240685,0.1497866,0.5568922162055969,83,21248,464.75529444310814,1359872
102.66,2.21,3006,0.009910637,0.13893636,2.2575915,-0.018133333,0.16737448,0.520944356918335,84,21504,470.20516735035926,1376256
97.66,2.44,2956,0.010351774,0.14672852,2.2384403,-0.018141137,0.16620636,0.4997938871383667,85,21760,475.7885527033359,1392640
111.67,2.66,2875,0.0105708465,0.14670818,2.2444336,-0.02040226,0.17679255,0.46640533208847046,86,22016,481.48787376098335,1409024
106.31,2.67,2986,0.008192685,0.11431885,2.2443435,-0.016100572,0.17174347,0.531560480594635,87,22272,487.02004652190953,1425408
111.36,2.34,2946,0.010664221,0.14831543,2.2436872,-0.01707834,0.15262833,0.5083335041999817,88,22528,492.58079550322145,1441792
104.85,1.99,2981,0.010393644,0.14455159,2.2311194,-0.019160068,0.14328954,0.5067069232463837,89,22784,498.12231214903295,1458176
96.39,1.86,2919,0.010569946,0.14831543,2.2781246,-0.019835867,0.14415802,0.4836874008178711,90,23040,503.735518341884,1474560
102.42,1.93,3012,0.011488465,0.16070557,2.224047,-0.020332275,0.1490653,0.4940102696418762,91,23296,509.2152953138575,1490944
101.07,2.3,2971,0.010185725,0.14485677,2.2597828,-0.018574288,0.1792412,0.4681288003921509,92,23552,514.7298563588411,1507328
114.42,2.28,2975,0.010397393,0.14544678,2.2556732,-0.01881779,0.17786522,0.46363890171051025,93,23808,520.2781463563442,1523712
104.81,2.43,2931,0.010013093,0.13568115,2.227998,-0.019142913,0.17206162,0.48927152156829834,94,24064,525.8682511085644,1540096
95.5,1.99,2948,0.011207123,0.15899658,2.2277632,-0.019782612,0.15950465,0.542184591293335,95,24320,531.4716842249036,1556480
103.7,2.22,2959,0.009958151,0.13557942,2.2322905,-0.021328881,0.16639207,0.577945351600647,96,24576,537.0080614136532,1572864
104.15,2.25,2925,0.011063923,0.15171306,2.1830275,-0.019982131,0.17277555,0.5235278010368347,97,24832,542.6534247566015,1589248
109.12,2.08,2894,0.011146433,0.16023763,2.2243476,-0.020909198,0.14819385,0.527251273393631,98,25088,548.3152075726539,1605632
96.41,2.24,2929,0.011190999,0.15555827,2.2023213,-0.018472515,0.1659226,0.5188179612159729,99,25344,553.9799405382946,1622016
110.13,2.69,3059,0.010898204,0.15586345,2.2097032,-0.020563576,0.15454657,0.5707243382930756,100,25600,559.3349982528016,1638400
107.19,2.16,3070,0.010888812,0.15122478,2.21287,-0.020364553,0.15811616,0.5135962069034576,101,25856,564.7129178466275,1654784
101.81,2.04,2995,0.011539571,0.15686035,2.2328339,-0.023329625,0.13720842,0.4518120288848877,102,26112,570.1834426149726,1671168
104.07,2.33,2879,0.011897412,0.16229248,2.2256973,-0.020798117,0.16506831,0.4724920392036438,103,26368,575.9129272960126,1687552
100.69,2.36,2997,0.011267007,0.1496989,2.183891,-0.021277996,0.180948,0.46768492460250854,104,26624,581.3800588995218,1703936
113.39,2.22,3043,0.011515145,0.15539551,2.1718965,-0.020037347,0.13765056,0.48526495695114136,105,26880,586.8061293689534,1720320
106.09,2.15,3057,0.010939551,0.15588379,2.1635501,-0.02004695,0.15793422,0.5206556022167206,106,27136,592.1659682458267,1736704
114.4,2.24,2967,0.010812774,0.15458171,2.1807563,-0.018406266,0.15480722,0.5009048879146576,107,27392,597.7349980929866,1753088
106.85,2.73,2953,0.01026499,0.14276123,2.202554,-0.020727457,0.174531,0.4827205538749695,108,27648,603.2827082509175,1769472
107.86,1.85,2940,0.012157268,0.16503906,2.2110934,-0.02129483,0.13815352,0.4601173400878906,109,27904,608.8953142333776,1785856
110.9,2.54,3033,0.010043903,0.13903809,2.1925943,-0.020336434,0.16450061,0.4806775450706482,110,28160,614.297772763297,1802240
119.81,3.27,2887,0.011481854,0.15679932,2.1748424,-0.021871842,0.17852275,0.49384891986846924,111,28416,620.0180224133655,1818624
106.54,2.74,2886,0.010508221,0.14345296,2.2007957,-0.020529376,0.194561,0.47949445247650146,112,28672,625.6945061990991,1835008
103.9,2.56,2947,0.010760218,0.15039062,2.1514308,-0.023331834,0.16385198,0.5779231786727905,113,28928,631.296878467314,1851392
107.86,2.14,2985,0.011802979,0.16444905,2.1403458,-0.023149813,0.1600152,0.5114845633506775,114,29184,636.786886847578,1867776
112.68,2.77,2922,0.0114521375,0.16009521,2.159836,-0.022430072,0.17153639,0.5316987931728363,115,29440,642.4358565015718,1884160
102.32,2.55,2919,0.010574084,0.1462199,2.1243422,-0.021297574,0.17463095,0.5704494118690491,116,29696,648.0481931502,1900544
117.78,2.88,2855,0.011008639,0.1509196,2.1338267,-0.021254728,0.18249051,0.5528360903263092,117,29952,653.849646945484,1916928
104.22,2.24,2946,0.013290095,0.17978923,2.1303356,-0.023404501,0.16447428,0.5289550125598907,118,30208,659.4119513873011,1933312
100.67,2.12,3002,0.014350344,0.19158936,2.1399562,-0.024604185,0.15433288,0.5673609972000122,119,30464,664.9121199529618,1949696
110.78,2.45,3006,0.012745018,0.17777507,2.1516597,-0.018003605,0.18665987,0.5080251693725586,120,30720,670.3624753076583,1966080
111.0,2.61,2920,0.012889001,0.17685954,2.1304667,-0.023375615,0.15811199,0.5540625154972076,121,30976,676.0151947299019,1982464
110.3,2.89,2896,0.012254099,0.16040039,2.1004736,-0.022985278,0.16973506,0.5831540524959564,122,31232,681.6732200048864,1998848
102.94,2.28,2940,0.013682902,0.18648274,2.108946,-0.02556686,0.15598963,0.5503036379814148,123,31488,687.2938142223284,2015232
92.23,2.19,2886,0.011235352,0.15553792,2.1468027,-0.024126383,0.16646427,0.5012735426425934,124,31744,692.9716431526467,2031616
105.35,2.87,2938,0.011937261,0.16684978,2.1075594,-0.020973109,0.19934534,0.5547947585582733,125,32000,698.5878579486161,2048000
113.44,3.05,2926,0.013332185,0.1800944,2.1206417,-0.022966636,0.17450444,0.5183014571666718,126,32256,704.1880722679198,2064384
